Début	Fin	Speaker	Text
132.97	133.283	  	 
133.283	134.416	 spk1 	 poussées défensives
134.416	134.808	  	 
134.808	135.696	 spk1 	 du pack français
135.696	136.564	  	 
136.564	137.713	 spk1 	 Ledesma encore
137.713	141.103	  	 
141.103	143.538	 spk1 	 et vous entendez Monsieur Spreadbury qui fait de la prévention
143.538	144.494	  	 
144.494	147.05	 spk1 	 Hernandez le drop avec le pied gauche
147.05	148.33	  	 
148.33	151.729	 spk1 	 qui va mourir sous les poteaux où se trouve Cédric Heymans 
151.729	154.443	  	 
154.443	156.785	 spk1 	 avec un arrêt de volée accordé par Monsieur Spreadbury
156.785	161.475	  	 
161.475	164.573	 spk1 	 tentative qui a échoué d'un rien hein de la part de Juan Martin Hernandez
164.573	165.724	  	 
165.724	167.541	 spk1 	 et le pied gauche de Cédric Heymans
167.541	168.617	  	 
168.617	169.82	 spk1 	 hou pour soulager
169.82	170.019	  	 
170.019	170.674	 spk1 	 difficilement
170.674	171.469	  	 
171.469	171.469	 spk1 	 l'équipe 
171.469	172.067	 spk2 	 Oh hé bien
172.067	172.688	 spk1 	 de France
172.688	175.25	 spk2 	 on a besoin de se rassurer on est pris euh d'entrée par le
175.25	175.794	  	 
175.794	180.018	 spk2 	 la vigueur l'agressivité euh argentine le drop qui vient mourir juste au bord
180.018	180.365	  	 
180.365	181.899	 spk2 	 du poteau euh gauche français
181.899	182.568	  	 
182.568	183.398	 spk2 	 de Hernandez
183.398	183.819	  	 
183.819	188.791	 spk2 	 ah il faut vite aller réoccuper le terrain pour se rassurer parce qu'en tout cas ce début de partie il est argentin vous le voyez
188.791	191.588	  	 
191.588	194.925	 spk1 	 et ouais Mario Ledesma l'ambiance est telle dans ce stade de France il a du mal
194.925	195.696	  	 
195.696	197.551	 spk1 	 à comprendre les combinaisons annoncées
197.551	199.59	  	 
199.59	202.868	 spk1 	 joue plutôt en fond de touche où Rémy Martin a essayé de batailler
202.868	203.635	  	 
203.635	204.598	 spk1 	 mais le départ
204.598	205.595	  	 
205.595	206.702	 spk1 	 d'Albacete
206.702	208.135	  	 
208.135	209.723	 spk1 	 relayé par Fernandez Lobbe
209.723	212.351	  	 
212.351	216.427	 spk1 	 voilà ce petit jeu de pick and go on prend le ballon et on vient défier l'adversaire
216.427	216.828	  	 
216.828	217.254	 spk1 	 au ras
217.254	220.459	  	 
220.459	220.459	 spk1 	 peut-être pour mettre Hernandez
220.459	220.459	 spk2 	 
220.459	221.623	 Event desc pi type pronounce extent instantaneous 	 
221.623	223.999	 spk1 	 encore dans une position de drop il est contré 
223.999	224.206	  	 
224.206	226.22	 spk1 	 Hernandez le ballon pour Dominici 
226.22	229.698	  	 
229.698	230.74	 spk1 	 allez un regroupement
230.74	232.488	  	 
232.488	235.235	 spk1 	 avec euh Mignoni son premier ballon dans le fermé
235.235	235.522	  	 
235.522	236.665	 spk1 	 pour lancer de Villiers
236.665	239.004	  	 
239.004	242.342	 spk1 	 et pénalité contre l'équipe de France Pieter de Villiers accusé
242.342	242.69	  	 
242.69	242.957	 spk1 	 d'avoir
242.957	243.122	  	 
243.122	244.102	 spk1 	 tenu le ballon
244.102	244.302	  	 
244.302	244.873	 spk1 	 au sol 
244.873	245.504	  	 
245.504	247.462	 spk1 	 quand on est au sol on est un joueur
247.462	247.702	  	 
247.702	249.409	 spk1 	 mort Thierry on ne doit plus rien faire hein
249.409	249.62	  	 
249.62	251.493	 spk1 	 si ce n'est que s'écarter le plus vite possible
251.493	251.828	  	 
251.828	252.399	 spk1 	 de la zone de jeu
252.399	252.655	  	 
252.655	255.428	 spk2 	 ouais effectivement dès que vous allez voir là on va aller au sol par Pieter de Villiers
255.428	255.684	  	 
255.684	260.923	 spk2 	 et là il doit lâcher la balle regardez il le garde auprès du corps pourquoi y'a trois argentins dessus ils ont beaucoup ils sont beaucoup plus rapides que nous
260.923	261.246	  	 
261.246	262.547	 spk2 	 sur toutes les phases de contact
262.547	262.902	  	 
262.902	264.008	 spk2 	 donc on revoit le drop contré
264.008	264.535	  	 
264.535	265.885	 spk2 	 euh sur vos sur votre écran
265.885	266.942	  	 
266.942	267.258	 spk1 	 euh oui
267.258	267.258	 spk2 	 euh Bernard Laporte euh
267.258	268.701	 spk1 	 et oui pas content Bernard 
268.701	270.892	 spk1 	 Laporte pas content du tout de cette entame de match
270.892	271.387	  	 
271.387	272.136	 spk1 	 de l'équipe de France
272.136	272.955	 spk1 	 on sent les français
272.955	273.528	  	 
273.528	275.895	 spk1 	 crispés hein qui ne se sont encore pas libérés
275.895	277.15	  	 
277.15	279.307	 spk1 	 et qui offrent à Felipe Contepomi
279.307	279.763	  	 
279.763	280.984	 spk1 	 la première occasion
280.984	281.704	  	 
281.704	282.646	 spk1 	 d'ouvrir le score
282.646	283.391	  	 
283.391	285.429	 spk1 	 coup de pied pas facile hein quarante-cinq mètres 
285.429	285.676	  	 
285.676	286.362	 spk1 	 sur le côté
286.362	286.842	  	 
286.842	286.842	 spk2 	 
286.842	287.253	 Event desc pi type pronounce extent instantaneous 	 
287.253	287.932	 spk2 	 droite du poteau 
287.932	288.869	  	 
288.869	289.611	 spk2 	 quand reviendra euh
289.611	289.849	  	 
289.849	291.094	 spk2 	 alors allez sur tf1.fr
291.094	291.263	  	 
291.263	293.845	 spk2 	 parce que je vais reprendre une phrase de Marc Antoine Jamet
293.845	294.374	  	 
294.374	299.679	 spk2 	 de Val-de-Reuil l'excellent Marc-Antoine Jamet qui disait aujourd'hui la clef du succès c'est le dyna(misme)* dynamisme
299.679	300.043	  	 
300.043	300.268	 spk2 	 de
300.268	300.395	  	 
300.395	300.786	 spk2 	 Mignoni
300.786	301.023	  	 
301.023	302.135	 spk2 	 face à l'expérience
302.135	302.387	  	 
302.387	302.861	 spk2 	 au vice
302.861	303.274	  	 
303.274	303.875	 spk2 	 de Pichot
303.875	304.053	  	 
304.053	304.832	 spk2 	 et c'est vrai vous le verrez
304.832	305.205	  	 
305.205	306.656	 spk2 	 que Mignoni il a une dynamique
306.656	306.656	 spk2 	 
306.656	307.197	 Event desc pi type pronounce extent instantaneous 	 
307.197	308.049	  	 
308.049	309.338	 spk2 	 est beaucoup plus lent dans ses transitions
309.338	309.706	  	 
309.706	314.334	 spk1 	 s'il vous plaît dans les stades de cette coupe du monde ne sifflez pas les buteurs respectez-les
314.334	315.323	  	 
315.323	317.503	 spk1 	 comme le stade de France est en train de le faire
317.503	317.989	  	 
317.989	319.881	 spk1 	 Contepomi c'est parti
319.881	320.662	  	 
320.662	321.872	 spk1 	 avec une réussite 
321.872	322.199	  	 
322.199	323.065	 spk1 	 et l'Argentine
323.065	323.268	  	 
323.268	324.305	 spk1 	 qui mène trois à zéro 
324.305	324.675	  	 
324.675	327.235	 spk1 	 à gauche de votre écran c'était Monsieur Loffreda
327.235	327.9	  	 
327.9	332.241	 spk1 	 ancien international ancien trois-quart centre de l'équipe d'Argentine et aujourd'hui sélectionneur
332.241	332.662	  	 
332.662	333.836	 spk1 	 avant de prendre l'année prochaine
333.836	334.152	  	 
334.152	335.013	 spk1 	 Leicester
335.013	335.754	  	 
335.754	337.066	 spk2 	 en tout cas vous avez raison Thierry 
337.066	337.066	 spk2 	 
337.066	337.374	 Event desc pi type pronounce extent instantaneous 	 
337.374	340.914	 spk2 	 c'est pas la peine de siffler le buteur il se concentre davantage quand on siffle donc ça l'aide
340.914	340.914	 spk2 	 
340.914	341.207	 Event desc pi type pronounce extent instantaneous 	 
341.207	341.621	 spk2 	 c'est pas la peine
341.621	342.795	  	 
342.795	343.753	 spk1 	 le renvoi de
343.753	344.285	  	 
344.285	345.376	 spk1 	 David Skrela
345.376	346.665	  	 
346.665	347.517	 spk1 	 un en-avant
347.517	347.871	  	 
347.871	348.49	 spk1 	 argentin 
348.49	349.804	 spk1 	 mêlée introduction
349.804	350.189	  	 
350.189	350.541	 spk1 	 française 
350.541	351.76	 spk1 	 tiens j'en profite c'est une mêlée
351.76	352.056	  	 
352.056	354.22	 spk1 	 pour appeler notre homme de terrain pendant cette coupe du monde
354.22	354.611	  	 
354.611	356.673	 spk1 	 Fabrice Landreau l'entraîneur du stade français
356.673	357.112	  	 
357.112	358.211	 spk1 	 ancien talonneur
358.211	358.889	  	 
358.889	361.382	 spk1 	 Roncero face à de Villiers ça va donner quoi
361.382	362.355	  	 
362.355	362.961	 spk1 	 Fabrice
362.961	363.259	  	 
363.259	366.153	 spk3 	 Bonsoir Thierry ben écoutez ça va être une une belle épreuve de choc 
366.153	368.283	 spk3 	 on voit tout de suite la mêlée argentine qui a pris le dessus 
368.283	368.74	  	 
368.74	369.587	 spk3 	 mais c'est vrai que
369.587	369.787	  	 
369.787	375.219	 spk3 	 j'ai entendu en tout cas tout proche beaucoup beaucoup Agustin Pichot dire en tout cas il fallait faire absolument des ballons portés du combat devant
375.219	375.517	  	 
375.517	377.699	 spk3 	 c'est en tout cas la consigne des Argentins pour cette première mi-temps
377.699	378.724	  	 
378.724	381.592	 spk1 	 et là l'équipe de France va bénéficier d'une pénalité bien placée
381.592	382.319	  	 
382.319	383.036	 spk1 	 on a plongé
383.036	383.722	  	 
383.722	384.778	 spk1 	 du côté des Pumas 
384.778	385.007	  	 
385.007	386.653	 spk2 	 vous verrez Monsieur Spreadbury avec son euh
386.653	386.892	  	 
386.892	388.946	 spk2 	 son bras droit il fait une espèce de roulé avec la main
388.946	389.221	  	 
389.221	390.186	 spk2 	 qui exprime bien que
390.186	390.402	  	 
390.402	393.018	 spk2 	 quand on est au sol il faut ramper rouler faire ce que vous voulez
393.018	393.239	  	 
393.239	394.058	 spk2 	 mais sortir de la zone
394.058	394.366	  	 
394.366	396.913	 spk2 	 et là vous allez voir regardez le joueur argentin il n'est plus sur ses pieds il vient plonger
396.913	397.173	  	 
397.173	399.337	 spk2 	 et après il fait même pas l'effort regardez il prend le ballon encore avec euh
399.337	399.897	 spk2 	 avec les mains
399.897	399.897	 spk2 	 
399.897	400.153	 Event desc r type noise extent instantaneous 	 
400.153	403.752	 spk2 	 il fait même pas l'effort de sortir de ramper de rouler mais il doit sortir la zone il est pénalisé
403.752	405.234	  	 
405.234	407.727	 spk1 	 le buteur de l'équipe de France c'est lui c'est David Skrela
407.727	411.962	  	 
411.962	416.342	 spk1 	 un peu moins de vingt-six mètres la ligne que vous voyez devant lui c'est la ligne des vingt-deux mètres mais avec euh
416.342	417.675	  	 
417.675	418.654	 spk1 	 le décalage
418.654	420.151	  	 
420.151	422.202	 spk1 	 ça fait un peu moins de vingt-six mètres
422.202	422.408	  	 
422.408	423.412	 spk1 	 pour égaliser
423.412	428.102	  	 
428.102	429.976	 spk1 	 concentration de David Skrela
429.976	433.119	  	 
433.119	434.334	 spk1 	 et trois partout 
434.334	438.439	  	 
438.439	443.615	 spk1 	 Jo Maso Bernard Laporte le manager et le sélectionneur de cette équipe de France
443.615	444.801	  	 
444.801	448.373	 spk1 	 peuvent souffler est-ce que l'équipe de France va pouvoir jouer un peu plus libérée maintenant
448.373	450.224	  	 
450.224	451.135	 spk1 	 c'est une question
451.135	453.697	  	 
453.697	455.143	 spk1 	 coup de pied tombé pour ce renvoi
455.143	456.725	  	 
456.725	457.884	 spk1 	 qu'on appelle aussi drop 
457.884	462.461	  	 
462.461	464.307	 spk1 	 et récupération de Raphaël Ibanez
464.307	467.19	  	 
467.19	467.941	 spk1 	 Mignoni
467.941	468.596	  	 
468.596	470.169	 spk1 	 avec Skrela pour trouver
470.169	471.742	  	 
471.742	472.631	 spk1 	 pas la touche
472.631	473.385	  	 
473.385	478.147	 spk1 	 forcer Nani Corleto à une relance il y excelle Nani Corleto une chandelle
478.147	478.511	  	 
478.511	480.291	 spk1 	 au point de chute Imanol Harinordoquy
480.291	480.967	  	 
480.967	481.948	 spk1 	 ouais en deux temps
481.948	482.277	  	 
482.277	482.974	 spk1 	 c'est bien fait
482.974	486.357	  	 
486.357	487.003	 spk1 	 Mignoni
487.003	487.745	  	 
487.745	490.449	 spk1 	 avec Skrela y'a peut-être un coup à jouer sur l'extérieur
490.449	490.67	  	 
490.67	491.415	 spk1 	 Heymans
491.415	492.242	  	 
492.242	494.112	 spk1 	 bien pris par trois argentins
494.112	494.695	  	 
494.695	495.831	 spk1 	 le soutien français suit
495.831	497.301	  	 
497.301	498.087	 spk1 	 Skrela
498.087	499.129	  	 
499.129	503.243	 spk1 	 oh et bien plaqué bien chassé par la troisième ligne argentine David Skrela 
503.243	504.635	  	 
504.635	506.343	 spk1 	 et ballon récupéré par les Pumas
506.343	508.207	  	 
508.207	511.242	 spk1 	 ah et qui vont venir jouer sur le petit côté avec Contepomi
511.242	511.992	  	 
511.992	513.236	 spk1 	 ah ouais passe croisée
513.236	514.597	  	 
514.597	515.773	 spk1 	 pour Lucas Borges 
515.773	518.143	  	 
518.143	519.89	 spk1 	 un avantage en cours pour l'Argentine
519.89	520.223	  	 
520.223	520.658	 spk1 	 et puis le
520.658	520.995	  	 
520.995	521.319	 spk1 	 Pichot
521.319	521.516	  	 
521.516	521.852	 spk1 	 voilà
521.852	522.499	  	 
522.499	526.453	 spk1 	 Pichot en se débarassant du ballon force l'arbitre à revenir à la faute
526.453	527.033	  	 
527.033	528.013	 spk1 	 et à accorder la péna(lité)
528.013	528.277	  	 
528.277	529.441	 spk1 	  la pénalité à l'Argentine
529.441	532.993	 spk2 	 ouais effectivement puisque y'a pas avantage l'avantage en fait c'est l'arbitre qui vous le donne
532.993	533.317	  	 
533.317	536.271	 spk2 	 si le y'a une faute là la faute française et que ça profite
536.271	536.557	  	 
536.557	537.632	 spk2 	 à l'Argentine on laisse jouer
537.632	537.933	  	 
537.933	538.783	 spk2 	 si ça profite pas
538.783	538.975	  	 
538.975	541.969	 spk2 	 hé bé on revient à la faute regardez cette passe chistera c'est ça c'est une passe dans le dos
541.969	542.329	  	 
542.329	544.764	 spk2 	 petite passe chistera pour Borges l'ailier euh
544.764	544.992	  	 
544.992	545.464	 spk2 	 argentin
545.464	545.869	  	 
545.869	546.83	 spk2 	 qui va aller au contact
546.83	547.108	  	 
547.108	548.202	 spk2 	 et là de suite qui va libérer la balle 
548.202	549.88	 spk2 	 et vous voyez euh Dominici qui est au sol
549.88	550.135	  	 
550.135	554.289	 spk2 	 et qui joue le ballon on le répète quand on est au sol on ne s'occupe plus du ballon et c'est une pénalité pour l'Argentine 
554.289	554.67	  	 
554.67	555.012	 spk1 	 Fabrice
555.012	555.326	  	 
555.326	557.797	 spk1 	 vous sentez de la fébrilité côté français en ce début de match
557.797	558.045	  	 
558.045	561.835	 spk3 	 ben c'est c'est un petit peu la surprise Thierry j'ai surtout vu des argentins qui étaient extrêmement euh
561.835	562.159	  	 
562.159	563.726	 spk3 	 concentrés qui veulent faire du petit jeu
563.726	564.041	  	 
564.041	566.923	 spk3 	 et les français je pense vont se* re(prendre) vont se reprendre très très vite notamment
566.923	567.143	  	 
567.143	569.138	 spk3 	 Raphaël Ibanez qui a rassemblé ses hommes
569.138	569.403	  	 
569.403	571.067	 spk3 	 Pierre Mignoni également qui parle beaucoup
571.067	571.327	  	 
571.327	573.146	 spk3 	 pour éviter de ben que la panique s'en mêle
573.146	573.398	  	 
573.398	575.082	 spk3 	 mais je pense qu'il va falloir un petit peu
575.082	575.271	  	 
575.271	580.804	 spk3 	 modérer euh les les envies folles des trois-quarts français parce que cette relance de David Skrela dans les vingt-deux mètres était un petit peu osée
580.804	582.149	  	 
582.149	584.66	 spk1 	 Contepomi sa deuxième tentative
584.66	598.21	  	 
598.21	601.906	 spk1 	 joli coup de pied bien traversé et ça passe
601.906	602.265	  	 
602.265	603.155	 spk1 	 six à trois
603.155	604.372	  	 
604.372	605.337	 spk1 	 pour l'Argentine 
605.337	606.51	  	 
606.51	610.96	 spk2 	 ouais je vais revenir Thierry sur l'analyse de Fabrice Landreau effectivement quand vous êtes sous pression
610.96	611.278	  	 
611.278	614.212	 spk2 	 pour se rassurer collectivement à quinze puisque c'est quinze contre quinze
614.212	614.535	  	 
614.535	615.114	 spk2 	 il faut quoi
615.114	615.396	  	 
615.396	624.393	 spk2 	 sortir de la pression prendre le ballon le cacher donner la passe à un buteur qui va jouer dans le camp adverse la contre-attaque est osée quand on est en tout cas en ce début de partie dominé dans l'agressivité
624.393	624.994	  	 
624.994	625.839	 spk1 	 le coup de renvoi est
625.839	626.073	  	 
626.073	629.007	 spk1 	 donné dans l'axe par Skrela et récupéré par l'Argentine
629.007	630.525	  	 
630.525	632.3	 spk1 	 avec Scelzo qui a laissé pour euh Pichot
632.3	632.601	  	 
632.601	633.797	 spk1 	 attention à Hernandez
633.797	634.129	  	 
634.129	636.24	 spk1 	 qui a décalé Lucas Borges face
636.24	636.568	  	 
636.568	637.803	 spk1 	 à Christope Dominici 
637.803	639.953	 spk1 	 là aussi c'est un duel entre deux co-équipiers en club
639.953	640.249	  	 
640.249	641.003	 spk1 	 au stade français
641.003	641.664	  	 
641.664	642.157	 spk1 	 Pichot
642.157	643.576	  	 
643.576	644.664	 spk1 	 au milieu du terrain
644.664	644.946	  	 
644.946	646.263	 spk1 	 bonne défense française
646.263	649.197	  	 
649.197	650.189	 spk1 	 Pichot encore
650.189	650.643	  	 
650.643	653.701	 spk1 	 dans l'axe pour euh le coup de pied d'Hernandez 
653.701	654.127	  	 
654.127	656.284	 spk1 	 sur lequel on va retrouver replié Mignoni
656.284	657.094	  	 
657.094	658.176	 spk1 	 et Heymans
658.176	660.614	  	 
660.614	662.376	 spk1 	 il ne trouvera pas la touche ça va relancer
662.376	662.928	  	 
662.928	664.859	 spk1 	 cet homme est un magicien el mago
664.859	665.192	  	 
665.192	665.785	 spk1 	 c'est Hernandez
665.785	666.01	  	 
666.01	666.548	 spk1 	 bien pris
666.548	666.916	  	 
666.916	667.914	 spk1 	 bien bouchonné
667.914	669.818	  	 
669.818	671.126	 spk1 	 par Fabien Pelous non
671.126	671.256	  	 
671.256	671.256	 spk2 	 
671.256	671.256	 Event desc rire type noise extent begin 	 oui
671.256	671.534	 Event desc rire type noise extent end 	 
671.534	673.124	 spk2 	 il reviendra à l'en-avant de Mignoni
673.124	673.577	  	 
673.577	678.932	 spk2 	 voilà on vous a parlé tout à l'heure y'a pas eu avantage c'est l'arbitre je le dis qui le désigne voilà y'a eu en-avant de Mignoni on a laissé le jeu
678.932	679.183	  	 
679.183	680.472	 spk2 	 les argentins n'ont pas avancé
680.472	680.786	  	 
680.786	683.806	 spk2 	 sur le terrain donc on revient à la faute à l'endroit où Mignoni a fait la faute
683.806	684.102	  	 
684.102	688.909	 spk1 	 avouez qu'il l'a laissé un bon moment hein l'avantage c'est vrai qu'l'en-avant de Mignoni y'a pas de doute hein euh
688.909	689.519	  	 
689.519	690.436	 spk1 	 mais euh
690.436	691.065	 spk2 	 ça a duré oui
691.065	691.829	 spk1 	 ça a duré hein
691.829	692.135	  	 
692.135	692.858	 spk2 	 il doit pas avoir les mêmes 
692.858	692.858	 spk2 	 trotteuses que nous
692.858	693.756	 spk1 	 regardez
693.756	694.107	 spk1 	 Pelous
694.107	694.107	 spk1 	 féroce
694.107	694.65	 spk2 	 ah ouais
694.65	695.188	  	 
695.188	696.248	 spk1 	 face à Hernandez
696.248	696.481	  	 
696.481	698.763	 spk2 	 ah il revient agressif Fabien il a retrouvé son très haut
698.763	698.763	 spk1 	 c'est un 
698.763	699.06	 spk2 	 niveau
699.06	699.962	 spk1 	 gros défenseur en plus
699.962	702.262	  	 
702.262	703.331	 spk1 	 allez la mêlée argentine
703.331	706.476	  	 
706.476	708.085	 spk1 	 ouais laissez laissez dit l'arbitre
708.085	708.782	  	 
708.782	709.815	 spk1 	 le ballon est au sol
709.815	710.619	  	 
710.619	711.44	 spk1 	 il est libéré
711.44	711.953	  	 
711.953	712.739	 spk2 	 dans l'axe peut-être
712.739	712.739	 spk1 	 ouais on
712.739	712.739	 spk2 	 
712.739	713.255	 Event desc pi type pronounce extent instantaneous 	 
713.255	714.032	 spk1 	 continue
714.032	714.777	  	 
714.777	717.159	 spk1 	 à percuter au ras à pilonner
717.159	717.468	  	 
717.468	718.807	 spk1 	 la défense française
718.807	719.185	  	 
719.185	720.285	 spk1 	 en espérant que les
720.285	720.582	  	 
720.582	722.491	 spk1 	 Betsen ou des Martin se consument
722.491	722.823	  	 
722.823	723.303	 spk1 	 là-dedans 
723.303	726.547	  	 
726.547	730.362	 spk1 	 avant d'écarter pour Hernandez combinaison avec l'autre Contepomi
730.362	730.995	  	 
730.995	733.394	 spk1 	 les deux centres sont deux jumeaux côté argentin
733.394	735.397	  	 
735.397	736.382	 spk1 	 Pichot encore
736.382	736.723	  	 
736.723	738.88	 spk1 	 avec Felipe Conte(pomi) Contepomi
738.88	739.209	  	 
739.209	740.453	 spk1 	 bien pris par Betsen
740.453	741.416	  	 
741.416	741.416	 spk1 	 oh la rage de la défense française
741.416	741.416	 spk2 	 
741.416	743.209	 Event desc pi type pronounce extent instantaneous 	 
743.209	743.494	  	 
743.494	744.423	 spk1 	 qui a gratté ce ballon
744.423	744.755	  	 
744.755	747.019	 spk1 	 les voilà les meilleurs ballons à jouer avec Jauzion
747.019	747.635	  	 
747.635	748.847	 spk1 	 avec Rémy Martin
748.847	749.216	 spk2 	 oh les jeux
749.216	749.422	  	 
749.422	750.769	 spk1 	 avec Pieter de Villiers
750.769	751.519	  	 
751.519	754.206	 spk1 	 avec Heymans maintenant c'est la grande relance
754.206	754.578	  	 
754.578	756.209	 spk1 	 française jusqu'à Rougerie
756.209	758.411	  	 
758.411	758.411	 spk2 	 
758.411	758.618	 Event desc pi type pronounce extent instantaneous 	 
758.618	760.505	 spk1 	 Mignoni du rythme du rythme
760.505	761.66	  	 
761.66	762.185	 spk1 	 il est pris
762.185	762.185	 spk1 	 
762.185	762.509	 Event desc pi type pronounce extent instantaneous 	 
762.509	763.272	 spk1 	 Rémy Martin
763.272	765.837	  	 
765.837	768.132	 spk1 	 ah oui ce ballon chipé par qui
768.132	768.752	  	 
768.752	771.344	 spk1 	 oh avec une série d'en-avants que va dire Monsieur Spreadbury
771.344	773.46	  	 
773.46	774.408	 spk1 	 premier en-avant
774.408	774.961	  	 
774.961	775.885	 spk1 	 il était argentin 
775.885	777.887	 spk1 	 la mêlée sera donc française 
777.887	779.964	 spk2 	 ah le ton est donné c'est défensivement qu'on reprend 
779.964	779.964	 spk2 	 l'ascendant sur l'Argentine
779.964	781.216	 spk1 	 oui oui
781.216	781.571	  	 
781.571	784.251	 spk2 	 sur les tampons sur les plaquages les tampons c'est les plaquages agressifs
784.251	784.676	  	 
784.676	785.91	 spk2 	 et de là avec Betsen en 
785.91	785.91	 spk2 	 
785.91	786.794	 Event desc pi type pronounce extent instantaneous 	 
786.794	789.341	 spk2 	 boum sur Contepomi et quand on avance à l'impact
789.341	789.791	  	 
789.791	791.508	 spk2 	 qu'on ait le ballon ou pas le ballon il faut avancer
791.508	791.762	  	 
791.762	793.358	 spk2 	 c'est animal le rugby c'est vrai
793.358	793.643	  	 
793.643	795.35	 spk2 	 et c'est celui qui avance qui a toujours les droits
795.35	795.544	  	 
795.544	796.082	 spk2 	 et qui a raison
796.082	796.327	  	 
796.327	798.119	 spk2 	 et là Skrela qui s'engage avec
798.119	798.478	  	 
798.478	800.949	 spk2 	 Traille et derrière ça écarte avec un Rémy Martin excellent d'ailleurs 
800.949	801.322	  	 
801.322	802.276	 spk2 	 qui a été très critiqué
802.276	802.621	  	 
802.621	805.925	 spk2 	 même par son entraîneur au stade français alors qu'il est présent il est très bon en ce moment
805.925	806.15	  	 
806.15	806.84	 spk2 	 il a du jus
806.84	807.134	  	 
807.134	808.392	 spk2 	 on l'a vu arriver agressif 
808.392	808.392	 spk2 	 
808.392	808.98	 Event desc pi type pronounce extent instantaneous 	 
